from_name,n_regions,avg_time_sec,avg_time_h_m,avg_top_20_h_m,avg_top_19_h_m,avg_top_18_h_m,avg_top_17_h_m,avg_top_16_h_m,avg_top_15_h_m,avg_top_14_h_m,avg_top_13_h_m,avg_top_12_h_m,avg_top_11_h_m,avg_top_10_h_m,avg_top_9_h_m,avg_top_8_h_m,avg_top_7_h_m,avg_top_6_h_m,avg_top_5_h_m,avg_top_4_h_m,avg_top_3_h_m
Englishman River South,15,170612.9,47h 24m,,,,,,47h 24m,44h 30m,41h 29m,38h 17m,34h 49m,30h 43m,26h 25m,23h 07m,20h 28m,18h 26m,16h 43m,14h 14m,10h 24m
Evergreen Park,15,121153.3,33h 39m,,,,,,33h 39m,29h 47m,26h 11m,22h 23m,18h 54m,15h 12m,11h 31m,7h 39m,5h 58m,4h 44m,3h 05m,1h 41m,0h 44m
Sion,15,148902.2,41h 22m,,,,,,41h 22m,38h 37m,35h 46m,32h 45m,29h 30m,25h 41m,21h 43m,18h 49m,15h 48m,14h 08m,12h 02m,9h 00m,5h 48m
Skowkale 10,15,157361.5,43h 43m,,,,,,43h 43m,40h 50m,37h 51m,34h 40m,31h 14m,27h 10m,22h 55m,19h 39m,17h 05m,15h 08m,13h 34m,11h 17m,7h 46m
Lorne,15,119267.3,33h 08m,,,,,,33h 08m,29h 21m,25h 51m,22h 09m,18h 48m,15h 16m,11h 47m,8h 10m,7h 01m,5h 30m,4h 16m,2h 25m,1h 45m
Hatzic Island,15,159621.7,44h 20m,,,,,,44h 20m,41h 28m,38h 28m,35h 16m,31h 50m,27h 46m,23h 30m,20h 14m,17h 39m,15h 41m,14h 07m,11h 48m,8h 14m
Saprae Creek,15,135087.7,37h 31m,,,,,,37h 31m,34h 40m,31h 42m,28h 33m,25h 09m,21h 08m,16h 56m,13h 44m,11h 27m,9h 38m,7h 38m,5h 51m,4h 18m
Saint-Bernard-de-l'Île-aux-Coudres,15,118196.2,32h 50m,,,,,,32h 50m,29h 24m,26h 17m,23h 03m,20h 15m,17h 22m,14h 41m,12h 05m,10h 31m,9h 08m,7h 35m,6h 36m,5h 11m
Cherry Point,15,174218.8,48h 24m,,,,,,48h 24m,45h 33m,42h 37m,39h 29m,36h 06m,32h 07m,27h 57m,24h 49m,22h 23m,20h 38m,19h 20m,17h 27m,14h 37m
Fox Mountain,15,155217.8,43h 07m,,,,,,43h 07m,40h 07m,36h 59m,33h 39m,30h 01m,25h 44m,21h 12m,17h 36m,15h 25m,13h 00m,11h 01m,9h 30m,7h 17m
