from_name,n_regions,avg_time_sec,avg_time_h_m,avg_top_20_h_m,avg_top_19_h_m,avg_top_18_h_m,avg_top_17_h_m,avg_top_16_h_m,avg_top_15_h_m,avg_top_14_h_m,avg_top_13_h_m,avg_top_12_h_m,avg_top_11_h_m,avg_top_10_h_m,avg_top_9_h_m,avg_top_8_h_m,avg_top_7_h_m,avg_top_6_h_m,avg_top_5_h_m,avg_top_4_h_m,avg_top_3_h_m
Savona,20,133208.9,37h 00m,37h 00m,34h 39m,32h 28m,30h 06m,27h 35m,24h 47m,22h 02m,19h 53m,17h 32m,14h 53m,12h 48m,11h 16m,10h 00m,8h 31m,6h 43m,5h 27m,4h 00m,3h 22m
Scarborough Village,20,114689.1,31h 51m,31h 51m,29h 43m,27h 53m,26h 06m,24h 11m,22h 28m,20h 50m,19h 13m,17h 27m,16h 01m,14h 29m,13h 05m,11h 37m,10h 03m,8h 24m,6h 12m,4h 30m,2h 28m
Schreiber,20,103052.4,28h 38m,28h 38m,27h 11m,26h 09m,25h 01m,23h 58m,22h 55m,21h 49m,20h 40m,19h 34m,18h 18m,16h 48m,15h 28m,14h 01m,12h 28m,10h 34m,9h 24m,8h 29m,7h 10m
Scotch Creek,20,131716.4,36h 35m,36h 35m,34h 16m,32h 08m,29h 48m,27h 21m,24h 36m,21h 55m,19h 51m,17h 35m,15h 02m,12h 55m,11h 31m,10h 04m,8h 37m,6h 50m,5h 49m,4h 17m,3h 30m
Scott,20,114404.0,31h 47m,31h 47m,29h 34m,27h 39m,25h 46m,23h 46m,21h 55m,20h 09m,18h 24m,16h 26m,14h 48m,13h 22m,11h 41m,10h 36m,9h 24m,8h 00m,6h 10m,4h 54m,2h 54m
Seafair,20,144914.8,40h 15m,40h 15m,37h 52m,35h 40m,33h 15m,30h 42m,27h 52m,25h 04m,22h 51m,20h 26m,17h 42m,15h 32m,13h 53m,12h 23m,10h 42m,8h 35m,6h 57m,4h 55m,3h 19m
Seaforth,20,120992.3,33h 37m,33h 37m,31h 29m,29h 42m,27h 56m,26h 04m,24h 24m,22h 48m,21h 16m,19h 33m,18h 13m,16h 36m,15h 18m,13h 46m,12h 07m,10h 20m,7h 59m,6h 01m,3h 53m
Sechelt,20,148422.0,41h 14m,41h 14m,38h 50m,36h 37m,34h 12m,31h 38m,28h 46m,25h 57m,23h 43m,21h 17m,18h 31m,16h 19m,14h 38m,13h 05m,11h 20m,9h 07m,7h 21m,5h 08m,3h 14m
Selkirk,20,101349.7,28h 09m,28h 09m,26h 37m,25h 20m,23h 58m,22h 36m,21h 05m,19h 26m,17h 56m,16h 36m,15h 24m,14h 09m,12h 52m,11h 30m,9h 56m,8h 01m,6h 15m,4h 39m,2h 13m
Senneterre,20,107753.7,29h 56m,29h 56m,27h 52m,26h 08m,24h 26m,22h 39m,21h 04m,19h 34m,18h 08m,16h 33m,15h 06m,13h 39m,12h 32m,11h 10m,9h 23m,7h 27m,4h 52m,2h 35m,1h 26m
Sentinel Hill,20,144320.3,40h 05m,40h 05m,37h 42m,35h 30m,33h 05m,30h 32m,27h 41m,24h 53m,22h 41m,20h 16m,17h 31m,15h 21m,13h 42m,12h 12m,10h 30m,8h 23m,6h 44m,4h 41m,3h 03m
Sept-Îles,20,134784.6,37h 26m,37h 26m,34h 52m,32h 35m,30h 16m,27h 46m,25h 22m,22h 58m,20h 29m,17h 41m,15h 02m,12h 29m,11h 06m,10h 25m,9h 38m,9h 05m,8h 20m,7h 15m,5h 46m
Sexsmith,20,120259.1,33h 24m,33h 24m,31h 01m,28h 48m,26h 23m,23h 50m,20h 59m,18h 10m,15h 57m,13h 31m,10h 46m,9h 27m,7h 53m,6h 47m,5h 23m,4h 15m,3h 25m,2h 17m,0h 33m
Seymour Heights,20,144124.3,40h 02m,40h 02m,37h 39m,35h 26m,33h 02m,30h 29m,27h 38m,24h 50m,22h 38m,20h 13m,17h 29m,15h 19m,13h 40m,12h 10m,10h 29m,8h 22m,6h 44m,4h 42m,3h 06m
Sharbot Lake,20,116187.6,32h 16m,32h 16m,30h 01m,28h 04m,26h 08m,24h 04m,22h 10m,20h 19m,18h 28m,16h 25m,14h 40m,13h 10m,11h 23m,9h 59m,8h 30m,6h 57m,4h 54m,3h 26m,1h 34m
Shaughnessy,20,144384.4,40h 06m,40h 06m,37h 43m,35h 31m,33h 06m,30h 33m,27h 43m,24h 55m,22h 42m,20h 17m,17h 33m,15h 23m,13h 44m,12h 14m,10h 33m,8h 26m,6h 48m,4h 45m,3h 10m
Shaunavon,20,109529.2,30h 25m,30h 25m,28h 26m,26h 40m,24h 45m,22h 46m,20h 32m,18h 27m,17h 02m,15h 25m,13h 41m,11h 44m,10h 05m,8h 44m,7h 10m,6h 11m,4h 58m,3h 55m,2h 56m
Shawinigan,20,115149.5,31h 59m,31h 59m,29h 36m,27h 30m,25h 24m,23h 09m,21h 03m,18h 58m,16h 51m,14h 28m,12h 21m,10h 24m,8h 53m,7h 50m,6h 48m,5h 50m,4h 37m,3h 52m,2h 52m
Shawville,20,111501.6,30h 58m,30h 58m,28h 44m,26h 49m,24h 55m,22h 53m,21h 01m,19h 13m,17h 26m,15h 27m,13h 46m,12h 17m,10h 33m,9h 08m,7h 37m,6h 01m,3h 54m,2h 19m,0h 39m
Shediac,20,131927.5,36h 39m,36h 39m,33h 56m,31h 28m,28h 58m,26h 16m,23h 39m,20h 59m,18h 11m,15h 01m,11h 58m,8h 54m,7h 45m,6h 32m,5h 11m,3h 46m,1h 57m,1h 26m,0h 36m
Shediac Cape,20,131925.3,36h 39m,36h 39m,33h 56m,31h 28m,28h 58m,26h 16m,23h 39m,20h 59m,18h 11m,15h 01m,11h 58m,8h 53m,7h 45m,6h 32m,5h 11m,3h 46m,1h 57m,1h 26m,0h 37m
Shelburne,20,148038.3,41h 07m,41h 07m,38h 22m,35h 52m,33h 19m,30h 34m,27h 53m,25h 08m,22h 16m,19h 00m,15h 50m,12h 37m,11h 26m,10h 02m,8h 26m,6h 41m,5h 07m,4h 02m,3h 30m
Shelburne,20,115633.8,32h 07m,32h 07m,30h 00m,28h 13m,26h 28m,24h 36m,22h 56m,21h 21m,19h 49m,18h 08m,16h 46m,15h 11m,13h 54m,12h 20m,10h 39m,8h 51m,6h 26m,4h 24m,2h 26m
Shellbrook,20,108436.6,30h 07m,30h 07m,28h 06m,26h 17m,24h 20m,22h 17m,20h 01m,17h 52m,16h 25m,14h 53m,13h 10m,11h 07m,9h 42m,8h 10m,6h 47m,5h 42m,4h 33m,2h 52m,2h 15m
Shenley,20,119543.3,33h 12m,33h 12m,30h 46m,28h 37m,26h 27m,24h 08m,21h 56m,19h 46m,17h 32m,15h 02m,12h 46m,10h 38m,9h 11m,8h 13m,7h 17m,6h 29m,5h 28m,4h 39m,3h 21m
Sherbrooke,20,116965.5,32h 29m,32h 29m,30h 07m,28h 02m,25h 56m,23h 43m,21h 37m,19h 33m,17h 28m,15h 07m,13h 01m,11h 06m,9h 35m,8h 30m,7h 26m,6h 27m,5h 11m,4h 03m,3h 07m
Sherwood Park,20,111476.5,30h 58m,30h 58m,28h 44m,26h 42m,24h 29m,22h 10m,19h 34m,17h 03m,15h 10m,13h 08m,10h 51m,9h 09m,8h 09m,6h 57m,5h 39m,4h 36m,3h 19m,2h 45m,1h 55m
Sicamous,20,128760.6,35h 46m,35h 46m,33h 29m,31h 22m,29h 05m,26h 40m,23h 58m,21h 20m,19h 20m,17h 08m,14h 41m,12h 32m,11h 15m,9h 40m,8h 12m,6h 34m,5h 32m,4h 17m,3h 16m
Sidney,20,150611.9,41h 50m,41h 50m,39h 27m,37h 13m,34h 48m,32h 14m,29h 22m,26h 33m,24h 19m,21h 53m,19h 06m,16h 54m,15h 12m,13h 39m,11h 53m,9h 40m,7h 53m,5h 38m,3h 42m
Simcoe,20,120672.5,33h 31m,33h 31m,31h 23m,29h 34m,27h 47m,25h 53m,24h 11m,22h 33m,20h 58m,19h 12m,17h 48m,16h 13m,14h 51m,13h 20m,11h 42m,9h 58m,7h 39m,5h 46m,3h 39m
Sioux Lookout,20,103731.3,28h 49m,28h 49m,27h 33m,26h 19m,25h 12m,24h 02m,22h 52m,21h 35m,20h 11m,18h 55m,17h 30m,15h 53m,14h 38m,13h 39m,12h 34m,11h 27m,9h 59m,8h 00m,4h 46m
Skidegate,20,183416.4,50h 57m,50h 57m,48h 24m,46h 00m,43h 22m,40h 35m,37h 28m,34h 22m,31h 48m,28h 58m,25h 44m,23h 40m,21h 23m,19h 23m,18h 00m,16h 24m,15h 17m,13h 48m,11h 35m
Slave Lake,20,116499.4,32h 22m,32h 22m,30h 03m,27h 54m,25h 35m,23h 08m,20h 23m,17h 42m,15h 38m,13h 23m,10h 50m,9h 28m,8h 10m,7h 04m,5h 51m,4h 29m,3h 41m,2h 39m,1h 48m
Sliammon,20,156485.7,43h 28m,43h 28m,41h 04m,38h 50m,36h 24m,33h 49m,30h 56m,28h 06m,25h 51m,23h 23m,20h 35m,18h 20m,16h 36m,15h 00m,13h 10m,10h 52m,8h 57m,6h 31m,4h 16m
Smithers,20,146561.5,40h 43m,40h 43m,38h 13m,35h 54m,33h 22m,30h 40m,27h 40m,24h 40m,22h 15m,19h 35m,16h 33m,14h 43m,12h 42m,11h 05m,10h 05m,8h 50m,7h 35m,6h 30m,5h 11m
Smiths Falls,20,113953.2,31h 39m,31h 39m,29h 23m,27h 26m,25h 30m,23h 26m,21h 31m,19h 40m,17h 50m,15h 46m,14h 00m,12h 30m,10h 44m,9h 21m,7h 55m,6h 25m,4h 27m,3h 04m,1h 20m
Smoky Lake,20,112007.4,31h 07m,31h 07m,28h 53m,26h 52m,24h 39m,22h 20m,19h 45m,17h 14m,15h 22m,13h 21m,11h 05m,9h 24m,8h 24m,7h 11m,5h 46m,4h 46m,3h 33m,2h 41m,1h 28m
